id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,391650,202439,202146,202363,76,189504
package 2,391650,203429,203203,203414,15,188447
package 3,391650,223490,223411,223489,1,168239
package 4,391650,228324,228222,228324,0,163428
package 5,391650,230215,229050,230215,0,162600
package 6,391650,242829,241891,242828,1,149759
package 7,391650,244089,244027,244089,0,147623
package 8,391650,255441,255322,255440,1,136328
package 9,391650,260591,259314,260590,1,132336
package 10,391650,268998,268963,268998,0,122687
package 11,391650,275620,272041,275620,0,119609
package 12,391650,280665,280414,280664,1,111236
package 13,391650,293910,293761,293908,2,97889
package 14,391650,296326,296195,296325,1,95455
package 15,391650,298742,298715,298742,0,92935
package 16,391650,302105,301901,302105,0,89749
package 17,391650,307153,307009,307150,3,84641
package 18,391650,323546,322528,323546,0,69122
package 19,391650,351293,350297,351293,0,41353
package 20,391650,357284,357078,357284,0,34572
package 21,391650,363907,363817,363906,1,27833
package 22,391650,364748,364450,364747,1,27200
package 23,391650,367270,366150,367269,1,25500
package 24,391650,372104,371644,372104,0,20006
package 25,391650,383034,382971,383034,0,8679
package 26,391650,385348,385212,385347,1,6438
