id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,911400,203681,203511,203624,57,707889
package 2,911400,228114,228040,228113,1,683360
package 3,911400,229061,229031,229059,2,682369
package 4,911400,235471,233895,235471,0,677505
package 5,911400,253135,251836,253127,8,659564
package 6,911400,253234,253206,253233,1,658194
package 7,911400,253758,253472,253758,0,657928
package 8,911400,257876,257159,257857,19,654241
package 9,911400,265740,264364,265740,0,647036
package 10,911400,270785,269730,270785,0,641670
package 11,911400,286026,285993,286025,1,625407
package 12,911400,294119,293800,294118,1,617600
package 13,911400,298533,298250,298532,1,613150
package 14,911400,303578,302492,303577,1,608908
package 15,911400,314508,314188,314508,0,597212
package 16,911400,315979,314894,315979,0,596506
package 17,911400,322077,321801,322075,2,589599
package 18,911400,328802,328001,328801,1,583399
package 19,911400,338577,338487,338576,1,572913
package 20,911400,351509,349574,351504,5,561826
package 21,911400,361384,360917,361383,1,550483
package 22,911400,362224,362136,362224,0,549264
package 23,911400,371683,371267,371683,0,540133
package 24,911400,374206,373188,374206,0,538212
package 25,911400,382614,382508,382614,0,528892
package 26,911400,392704,392407,392704,0,518993
package 27,911400,402374,402352,402373,1,509048
package 28,911400,404476,402266,404475,1,509134
package 29,911400,404791,404604,404790,1,506796
package 30,911400,405106,404887,405106,0,506513
package 31,911400,422133,420785,422133,0,490615
package 32,911400,437898,437695,437898,0,473705
package 33,911400,442417,442355,442417,0,469045
package 34,911400,443153,442571,443153,0,468829
package 35,911400,465014,464384,465014,0,447016
package 36,911400,470585,470370,470585,0,441030
package 37,911400,472582,471746,472582,0,439654
package 38,911400,485195,483950,485194,1,427450
package 39,911400,488662,488621,488662,0,422779
package 40,911400,492762,490953,492762,0,420447
package 41,911400,506635,506523,506635,0,404877
package 42,911400,517986,517587,517986,0,393813
package 43,911400,520193,519589,520193,0,391811
package 44,911400,530599,529645,530599,0,381755
package 45,911400,535643,535293,535643,0,376107
package 46,911400,550883,550839,550883,0,360561
package 47,911400,551514,551480,551514,0,359920
package 48,911400,553300,552165,553300,0,359235
package 49,911400,565704,564922,565703,1,346478
package 50,911400,584411,584235,584411,0,327165
package 51,911400,584726,584391,584726,0,327009
package 52,911400,589456,589121,589456,0,322279
package 53,911400,597338,597237,597338,0,314163
package 54,911400,604699,604410,604696,3,306990
package 55,911400,611318,610235,611317,1,301165
package 56,911400,621723,621626,621722,1,289774
package 57,911400,622353,622253,622353,0,289147
package 58,911400,623615,622940,623615,0,288460
package 59,911400,644425,644359,644424,1,267041
package 60,911400,644951,644325,644950,1,267075
package 61,911400,654200,652461,654199,1,258939
package 62,911400,665130,664399,665130,0,247001
package 63,911400,666497,666285,666496,1,245115
package 64,911400,677532,677332,677532,0,234068
package 65,911400,699603,697902,699603,0,213498
package 66,911400,704649,703892,704648,1,207508
package 67,911400,705279,705102,705279,0,206298
package 68,911400,713163,712926,713162,1,198474
package 69,911400,717807,717612,717786,21,193788
package 70,911400,722095,721266,722095,0,190134
package 71,911400,734919,733830,734918,1,177570
package 72,911400,737440,735789,737440,0,175611
package 73,911400,745008,744496,745008,0,166904
package 74,911400,752576,751525,752575,1,159875
package 75,911400,766028,765591,766028,0,145809
package 76,911400,772755,772227,772755,0,139173
package 77,911400,777484,776792,777484,0,134608
package 78,911400,781478,781289,781478,0,130111
package 79,911400,792725,791629,792724,1,119771
package 80,911400,797981,797603,797980,1,113797
package 81,911400,800292,799633,800292,0,111767
package 82,911400,811119,811058,811118,1,100342
package 83,911400,815638,814045,815637,1,97355
package 84,911400,820683,820196,820682,1,91204
package 85,911400,838130,837972,838129,1,73428
package 86,911400,843384,842688,843384,0,68712
package 87,911400,848429,847871,848429,0,63529
package 88,911400,868398,867309,868398,0,44091
package 89,911400,874494,874291,874494,0,37109
package 90,911400,878383,878198,878383,0,33202
package 91,911400,879019,878961,879014,5,32439
package 92,911400,886266,886244,886266,0,25156
package 93,911400,896357,896102,896356,1,15298
package 94,911400,901086,900081,901085,1,11319
package 95,911400,909812,909689,909809,3,1711
