id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,713813,200935,200356,200892,43,513457
package 2,713813,207745,206875,207724,21,506938
package 3,713813,208145,206634,208144,1,507179
package 4,713813,208354,208258,208354,0,505555
package 5,713813,212770,211465,212769,1,502348
package 6,713813,215186,214681,215186,0,499132
package 7,713813,216132,211490,216132,0,502323
package 8,713813,220337,218110,220336,1,495703
package 9,713813,222859,222537,222858,1,491276
package 10,713813,228640,228340,228639,1,485473
package 11,713813,228744,227716,228744,0,486097
package 12,713813,235470,234338,235470,0,479475
package 13,713813,237888,237859,237888,0,475954
package 14,713813,237993,236087,237993,0,477726
package 15,713813,243038,241651,243038,0,472162
package 16,713813,245560,244922,245560,0,468891
package 17,713813,245666,245440,245665,1,468373
package 18,713813,250605,243025,250605,0,470788
package 19,713813,251447,251329,251446,1,462484
package 20,713813,253128,251270,253128,0,462543
package 21,713813,255653,255048,255650,3,458765
package 22,713813,265635,265144,265635,0,448669
package 23,713813,270680,270400,270680,0,443413
package 24,713813,273309,271989,273308,1,441824
package 25,713813,278353,277721,278352,1,436092
package 26,713813,280876,280130,280875,1,433683
package 27,713813,283398,281767,283397,1,432046
package 28,713813,286235,286097,286235,0,427716
package 29,713813,290650,290297,290649,1,423516
package 30,713813,290861,290095,290860,1,423718
package 31,713813,296430,295828,296430,0,417985
package 32,713813,301055,300211,301055,0,413602
package 33,713813,302000,301945,302000,0,411868
package 34,713813,303472,301941,303472,0,411872
package 35,713813,304419,303987,304418,1,409826
package 36,713813,304523,304011,304523,0,409802
package 37,713813,306099,304840,306099,0,408973
package 38,713813,317030,316650,317030,0,397163
package 39,713813,318607,318439,318607,0,395374
package 40,713813,319553,318130,319553,0,395683
package 41,713813,329223,328681,329222,1,385132
package 42,713813,343936,343114,343936,0,370699
package 43,713813,346459,344516,346459,0,369297
package 44,713813,346775,346556,346774,1,367257
package 45,713813,346985,346773,346984,1,367040
package 46,713813,351924,351526,351924,0,362287
package 47,713813,354236,354112,354236,0,359701
package 48,713813,354763,354605,354762,1,359208
package 49,713813,356549,356376,356549,0,357437
package 50,713813,362434,360513,362434,0,353300
package 51,713813,372524,372137,372524,0,341676
package 52,713813,374102,373871,374101,1,339942
package 53,713813,376728,376302,376728,0,337511
package 54,713813,380093,379884,380092,1,333929
package 55,713813,381773,381290,381773,0,332523
package 56,713813,384401,384203,384401,0,329610
package 57,713813,384716,383106,384716,0,330707
package 58,713813,390602,390097,390602,0,323716
package 59,713813,391758,390861,391758,0,322952
package 60,713813,399115,398969,399115,0,314844
package 61,713813,400272,399007,400272,0,314806
package 62,713813,402268,402090,402268,0,311723
package 63,713813,406998,405598,406998,0,308215
package 64,713813,409521,408887,409520,1,304926
package 65,713813,414565,413818,414565,0,299995
package 66,713813,415301,414916,415301,0,298897
package 67,713813,415406,414813,415406,0,299000
package 68,713813,419610,418932,419610,0,294881
package 69,713813,424675,423669,424655,20,290144
package 70,713813,427179,425087,427178,1,288726
package 71,713813,429596,428801,429595,1,285012
package 72,713813,429700,428555,429700,0,285258
package 73,713813,433275,433159,433274,1,280654
package 74,713813,434430,434188,434429,1,279625
package 75,713813,435586,435549,435586,0,278264
package 76,713813,448198,447473,448198,0,266340
package 77,713813,450722,450355,450721,1,263458
package 78,713813,455346,454798,455345,1,259015
package 79,713813,457342,457142,457342,0,256671
package 80,713813,458289,456841,458288,1,256972
package 81,713813,462914,462471,462913,1,251342
package 82,713813,463333,462344,463333,0,251469
package 83,713813,465645,465609,465645,0,248204
package 84,713813,470060,469254,470060,0,244559
package 85,713813,471321,471209,471321,0,242604
package 86,713813,472477,471480,472477,0,242333
