id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 87,713813,487717,486133,487717,0,227680
package 88,713813,492762,491517,492762,0,222296
package 89,713813,496125,495591,496125,0,218222
package 90,713813,497702,496488,497702,0,217325
package 91,713813,497817,496713,497807,10,217100
package 92,713813,500224,499373,500224,0,214440
package 93,713813,501170,500685,501170,0,213128
package 94,713813,505794,505315,505794,0,208498
package 95,713813,507581,507078,507581,0,206735
package 96,713813,515360,514918,515359,1,198895
package 97,713813,515465,513677,515464,1,200136
package 98,713813,516305,516151,516305,0,197662
package 99,713813,517986,516689,517986,0,197124
package 100,713813,533016,532087,533016,0,181726
package 101,713813,533121,532393,533121,0,181420
package 102,713813,538167,538048,538166,1,175765
package 103,713813,539008,538430,539007,1,175383
package 104,713813,542897,542696,542896,1,171117
package 105,713813,543212,541184,543211,1,172629
package 106,713813,543317,542278,543316,1,171535
package 107,713813,553196,552517,553196,0,161296
package 108,713813,557085,556650,557085,0,157163
package 109,713813,560763,560175,560763,0,153638
package 110,713813,560869,559658,560868,1,154155
package 111,713813,560973,559987,560973,0,153826
package 112,713813,563390,563002,563390,0,150811
package 113,713813,565914,564317,565913,1,149496
package 114,713813,574321,573833,574321,0,139980
package 115,713813,578421,577611,578420,1,136202
package 116,713813,581048,579690,581048,0,134123
package 117,713813,581574,581523,581573,1,132290
package 118,713813,581890,581586,581889,1,132227
package 119,713813,581995,581799,581994,1,132014
package 120,713813,586093,585231,586093,0,128582
package 121,713813,586934,586126,586934,0,127687
package 122,713813,599442,598903,599441,1,114910
package 123,713813,603645,603222,603645,0,110591
package 124,713813,603751,602933,603750,1,110880
package 125,713813,606167,605564,606167,0,108249
package 126,713813,611317,611008,611317,0,102805
package 127,713813,611843,611618,611843,0,102195
package 128,713813,613840,613544,613840,0,100269
package 129,713813,618885,618432,618885,0,95381
package 130,713813,618990,618095,618990,0,95718
package 131,713813,624771,624559,624771,0,89254
package 132,713813,639068,636174,639064,4,77639
package 133,713813,641588,641073,641587,1,72740
package 134,713813,642848,641611,642848,0,72202
package 135,713813,649155,648477,649154,1,65336
package 136,713813,651573,651408,651572,1,62405
package 137,713813,654199,650637,654199,0,63176
package 138,713813,655040,654923,655040,0,58890
package 139,713813,659980,659067,659980,0,54746
package 140,713813,660086,659656,660085,1,54157
package 141,713813,666812,665004,666812,0,48809
package 142,713813,672802,672705,672802,0,41108
package 143,713813,676901,675231,676901,0,38582
package 144,713813,677428,677071,677427,1,36742
package 145,713813,681946,681001,681946,0,32812
package 146,713813,684363,683572,684363,0,30241
package 147,713813,684469,684089,684469,0,29724
package 148,713813,686887,686410,686886,1,27403
package 149,713813,689935,689446,689934,1,24367
package 150,713813,692773,692658,692772,1,21155
package 151,713813,694454,693541,694453,1,20272
package 152,713813,697922,697461,697922,0,16352
package 153,713813,699498,698777,699498,0,15036
package 154,713813,707171,706808,707171,0,7005
package 155,713813,713057,711434,713057,0,2379
