id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,416813,217638,216899,217603,35,199914
package 2,416813,223490,222877,223489,1,193936
package 3,416813,225488,225321,225486,2,191492
package 4,416813,230322,230239,230321,1,186574
package 5,416813,230425,230152,230425,0,186661
package 6,416813,242933,242884,242933,0,173929
package 7,416813,263218,263167,263217,1,153646
package 8,416813,267948,267605,267947,1,149208
package 9,416813,281295,280861,281295,0,135952
package 10,416813,283502,283472,283502,0,133341
package 11,416813,291070,290875,291070,0,125938
package 12,416813,301896,301432,301895,1,115381
package 13,416813,313457,312400,313457,0,104413
package 14,416813,318397,317504,318396,1,99309
package 15,416813,318503,318380,318502,1,98433
package 16,416813,319343,319313,319343,0,97500
package 17,416813,346255,345838,346249,6,70975
package 18,416813,347406,347274,347405,1,69539
package 19,416813,354027,353573,354026,1,63240
package 20,416813,357811,357431,357810,1,59382
package 21,416813,376833,376660,376833,0,40153
package 22,416813,381459,380645,381458,1,36168
package 23,416813,382405,381813,382404,1,35000
package 24,416813,389447,389395,389446,1,27418
package 25,416813,404896,404844,404896,0,11969
package 26,416813,411733,410746,411728,5,6067
package 27,416813,413200,413083,413199,1,3730
