Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
14636 - Infra Infonuagique,14636,VILLE DE MONTREAL,Support,CANADA,LCS | Assistance,Gagnée,ROTH,MAUDET,66000,100%,5/26/2016,5/26/2016
14576 - LPI 102 13 au 16 juin,14576,EDUGROUPE,Formation,Paris,LTS | Inter,Sans suite,CONTE,CONTE,1320,0%,5/26/2016,5/26/2016
14577 - Création et hébergement portail internet,14577,CIG GRANDE COURONNE,Studio,Paris,LPS | Forfait,Sans suite,STG_SIRIGU,MOUTON,10000,0%,5/27/2016,6/3/2016
14580 - formation admin PostgreSQL,14580,VIF,Formation,Paris,LTS | Intra,Perdue,MATONDO,CONTE,5400,0%,5/27/2016,5/27/2016
14581 - focalisation points de vigilance,14581,SOCIETE GENERALE SA,Conseil,Paris,LCS | Forfait,Gagnée,CONTE,SCHURR,9920,100%,5/27/2016,5/27/2016
14292 - OBM + Linshare,14292,VILLE DE MONTREAL,OBM,CANADA,LGS l Service Forfait,Sans suite,IVOL,MAUDET,30000,0%,5/28/2016,6/28/2016
14582 - AT POC OpenLDAP,14582,CARREFOUR SYSTEME D'INFORMATION FRANCE,LinID,Paris,LGS l Service Assistance,Signée,CONTE,CHAPELLON,3150,100%,5/30/2016,5/30/2016
14583 - Rapport sur GLPI,14583,CG43,AUTRE,GSE,LCS | Assistance,Sans suite,BOSSHARD,PHILIPPENKO,9000,0%,5/30/2016,6/15/2016
14584 - Configuration LinShare,14584,CG43,LinShare,GSE,LCS | Assistance,Sans suite,BOSSHARD,PHILIPPENKO,10000,0%,5/30/2016,6/15/2016
14585 - Support GLPI,14585,AP-HM,OSSA,GSE,LRS | Support,Sans suite,PHILIPPENKO,PHILIPPENKO,5000,0%,5/30/2016,6/30/2016
14587 - Formation LPI 102,14587,SETELIA,Formation,Paris,LTS | Inter,Sans suite,MATONDO,MAUDET,2200,0%,5/30/2016,5/30/2016
14588 - [UGAP] expertise PIWIK,14588,CNAV,Studio,Paris,LPS | Forfait,Signée,VASSILIEFF,MAUDET,5657.08,100%,5/30/2016,6/22/2016
14609 - Dev Plateformes,14609,VILLE DE MONTREAL,Studio,CANADA,LPS | Forfait,Gagnée,ROTH,MAUDET,61500,100%,5/30/2016,5/30/2016
14589 - Formation LPI,14589,CEGEDIM,Formation,Paris,LTS | Inter,Signée,MATONDO,MAUDET,2200,100%,5/31/2016,5/31/2016
14610 - Soutien en environnement Linux,14610,"MINISTERE DE L'ECONOMIE, DE LA SCIENCE ET DE L'INNOVATION",Support,CANADA,LPS | Assistance,Perdue,ROTH,MAUDET,154980,0%,5/31/2016,6/15/2016
14590 - Formation Drivers linux,14590,SMARDTV,Infra,GSE,LPS | Forfait,Perdue,STAMBOULI,VALENTIN,10000,0%,6/1/2016,6/3/2016
20189 - BOFIP - Formation Drupal 8 / PHP7,20189,MINEFI SLL 2012,Studio,Paris,LPS | Assistance,Sans suite,DANIEL,CAMICAS,46939.55,0%,6/2/2016,6/20/2016
14591 - GRC capdemat,14591,CG 35,Développement,Paris,LPS | Forfait,Gagnée,VASSILIEFF,MAUDET,27400,100%,6/2/2016,7/12/2016
14592 - Integration Bus de services,14592,CG 35,Petals,Paris,LGS l Service Forfait,Gagnée,VASSILIEFF,ESCUDIE,86750,100%,6/2/2016,7/29/2016
14593 - SAE Asalae,14593,CG 35,LinPKI,Paris,LPS | Forfait,Sans suite,VASSILIEFF,ZAPOLSKY,40000,0%,6/2/2016,1/5/2017
14594 - Projet AVEA,14594,ARESSY ET ASSOCIES,NEOMA,NEOMA,LPS | Assistance,Gagnée,CLOUZEAU,CLOUZEAU,1,100%,6/2/2016,6/2/2016
14946 - MAJ Webzine Actionnaire SUEZ,14946,AGENCE O'COMMUNICATION,NEOMA,Paris,LPS | Assistance,Gagnée,CLOUZEAU,CLOUZEAU,1,100%,6/2/2016,6/2/2016
14595 - LPI 201- semaine 27,14595,EDUGROUPE,Formation,Paris,LTS | Inter,Signée,CONTE,CONTE,1440,100%,6/3/2016,6/3/2016
14596 - integration et support LDAP,14596,CARREFOUR SYSTEME D'INFORMATION FRANCE,LinID,Paris,LGS l Service Forfait,Perdue,CONTE,MAUDET,110000,0%,6/3/2016,6/7/2016
14597 -  Projet EJBCA,14597,MAIF,LinPKI,Paris,LGS l Service Forfait,Signée,CONTE,MAUDET,50000,100%,6/3/2016,6/16/2016
14598 - (UGAP) OwnCloud 30j,14598,CNRS DSI,Développement,GSO,LPS | Assistance,Signée,DESCHUTTER,VALENTIN,16206.74,100%,6/3/2016,6/10/2016
14600 - Linshare installation et support,14600,MINISTERE DE LA CULTURE,LinShare,Paris,LGS l Service Forfait,Signée,VASSILIEFF,CHAPELLON,12630.17,100%,6/6/2016,6/17/2016
14601 - Schema Directeur,14601,GEMALTO GEMENOS,Conseil,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,MAUDET,40000,0%,6/6/2016,7/31/2016
14602 - LPI 101,14602,VAELIA,Formation,Paris,LTS | Delegation,Signée,CONTE,CONTE,2840,100%,6/6/2016,6/6/2016
14603 - recup charges,14603,CLINIQUE DES MINIMES,LinID,GSO,LGS l Service Forfait,Signée,DESCHUTTER,VALENTIN,4860,100%,6/7/2016,6/7/2016
14604 - UGAP - Transfert de compétences PHP,14604,VILLE DE MARSEILLE,Formation,GSE,LTS | Intra,Sans suite,PHILIPPENKO,VALENTIN,5000,0%,6/8/2016,6/15/2016
14605 - Appel entrant sur LinID pour un AO telecom,14605,NEXTIRAONE FRANCE,LinID,Paris,LGS l Service Forfait,Sans suite,CONTE,CHAPELLON,50000,0%,6/8/2016,6/15/2016
14606 - CJOS,14606,AMNESTY INTERNATIONAL,Conseil,Paris,LCS | Assistance,Signée,ZAPOLSKY,SCHURR,1575,100%,6/9/2016,6/9/2016
14608 - CCAP pour une prestation dâ€™expertise GED et PostgreSQL,14608,EDF - DIRECTION DES ACHATS,Infra,Paris,LPS | Assistance,Sans suite,CONTE,MAUDET,102000,0%,6/10/2016,6/23/2016
14293 - Prospection,14293,HYDRO-QUEBEC,Conseil,CANADA,LGS l Souscription,Sans suite,IVOL,MAUDET,30000,0%,6/13/2016,6/29/2016
14611 - Assistance technique sur Carrefour.fr,14611,CARREFOUR SYSTEME D'INFORMATION FRANCE,Studio,Paris,LPS | Assistance,Signée,ZAPOLSKY,MAUDET,84960,100%,6/13/2016,6/13/2016
14612 - purge iparapheur,14612,SIAAP,Développement,Paris,LPS | Forfait,Signée,VASSILIEFF,MAUDET,2100,100%,6/14/2016,6/27/2016
14613 - Candidature refonte site internet,14613,ERILIA,Studio,GSE,LPS | Forfait,Sans suite,PHILIPPENKO,MOUTON,1,0%,6/14/2016,6/15/2016
14614 - Assistance OpenLDAP,14614,CANTON DE VAUD,LinID,Paris,LGS l Service Assistance,Signée,MAUDET,MAUDET,8575,100%,6/15/2016,6/15/2016
14616 - Audit sécurité,14616,GLDF,Conseil,Paris,LPS | Assistance,Sans suite,MAUDET,MAUDET,7875,0%,6/15/2016,6/15/2016
14617 - support lemonLDAP- Linshare,14617,CONSEIL D'ETAT,LinShare,Paris,LGS l Souscription,Signée,VASSILIEFF,CHAPELLON,10000,100%,6/16/2016,6/21/2016
14618 - Support SLL,14618,MINISTERE DE LA CULTURE,OBM,Paris,LGS l Service Forfait,Sans suite,VASSILIEFF,CHAPELLON,150000,0%,6/16/2016,10/14/2016
14619 - evolution fin  de marché (UGAP),14619,MINISTERE DES AFFAIRES SOCIALES ET DE LA SANTE,Studio,Paris,LGS l Service Assistance,Gagnée,VASSILIEFF,MOUTON,48416.4,100%,6/16/2016,7/29/2016
14620 - Drupal Amélioration,14620,CCIMP,Studio,GSE,LPS | Assistance,Sans suite,BOSSHARD,PHILIPPENKO,12000,0%,6/16/2016,7/31/2016
14621 - Refonte Drupal 7,14621,CCIMP,Studio,Paris,LPS | Assistance,Qualification,BOSSHARD,PHILIPPENKO,100000,2%,6/16/2016,7/31/2016
14622 - Accompagnement R&D,14622,GEMALTO GEMENOS,Développement,GSE,LPS | Forfait,Sans suite,PHILIPPENKO,MAUDET,50000,0%,6/16/2016,7/31/2016
14624 - Cloud,14624,GEMALTO GEMENOS,Infra,GSE,LPS | Forfait,Sans suite,PHILIPPENKO,MAUDET,50000,0%,6/16/2016,9/30/2016
14625 - Linshare,14625,CG13,LinShare,GSE,LPS | Forfait,Sans suite,BOSSHARD,PHILIPPENKO,30000,0%,6/16/2016,7/31/2016
14626 - Lot 2 - Support Niveau N4 PostgreSQL,14626,EDF - DIRECTION DES ACHATS,OSSA,Paris,LRS | OSSA,Signée,CONTE,DUFAY,17502,100%,6/17/2016,6/17/2016
20190 - Accompagnement Drupal,20190,MINEFI SLL 2012,Studio,Paris,LPS | Assistance,Signée,DANIEL,DANIEL,53130,100%,6/19/2016,6/20/2016
14628 - OBM,14628,MINISTERE DE L'INTERIEUR TUNISIEN,OBM,TUNISIE,LGS l Service Assistance,Gagnée,ZAPOLSKY,MAUDET,33500,100%,5/3/2016,5/18/2016
14629 - Connecteur Outlook OBM,14629,BARONNIE LANGLET,OBM,Paris,LGS l Souscription,Signée,BENHADDOU,CHAPELLON,330,100%,6/20/2016,6/22/2016
14631 - LPI 101 ET LPI 102,14631,ECONOCOM LILLE,Formation,Paris,LTS | Intra,Sans suite,MATONDO,MATONDO,4400,0%,6/20/2016,6/20/2016
14632 - Support,14632,VERIZON.COM,Support,Paris,LRS | Support,Perdue,KISAKA,BAILLY,30000,0%,6/21/2016,6/28/2016
14633 - lot1 accord cadre 2016,14633,INSTITUT RECHERCHE ET DEVELOPPEMENT,Développement,Paris,LGS l Service Assistance,Sans suite,VASSILIEFF,MAUDET,175000,0%,6/22/2016,7/4/2016
14634 - Administration JBOSS,14634,AIR LIQUIDE,Formation,Paris,LTS | Intra,Gagnée,MATONDO,MATONDO,1800,100%,6/22/2016,6/22/2016
14635 -  AT Admin Sys,14635,FRANCE TV PUB,Infra,Paris,LPS | Assistance,Signée,CONTE,MAUDET,11875,100%,6/22/2016,7/28/2016
14294 - SDOS,14294,ALGORITHME PHARMA,Conseil,CANADA,LGS l Service Forfait,Qualification,IVOL,MAUDET,20000,5%,6/13/2016,6/1/2017
14637 - SOLEO MÃ J site,14637,SOLEO SERVICES,NEOMA,NEOMA,LPS | Forfait,Gagnée,CLOUZEAU,ZAPOLSKY,275,100%,6/23/2016,6/24/2016
14638 - maintenance planetlab,14638,UNIVERSITE PIERRE ET MARIE CURIE,Support,Paris,LGS l Service Forfait,Sans suite,VASSILIEFF,MAUDET,60000,0%,6/24/2016,7/8/2016
14627 -  SQL03 - Administration PostgreSQL,14627,SANTE PUBLIQUE FRANCE,Formation,Paris,LTS | Inter,Sans suite,MATONDO,MATONDO,1400,0%,6/20/2016,8/1/2016
14639 - Expertise Samba,14639,LES ECHOS,Infra,Paris,LPS | Assistance,Signée,BENHADDOU,CHAPELLON,2800,100%,6/27/2016,6/27/2016
14640 - [UGAP] AT Regie Zend 2 sous traitance Darkmira suite,14640,TELECOM PARISTECH,Studio,Paris,LPS | Assistance,Signée,STG_SIRIGU,MAUDET,33177.96,100%,6/27/2016,6/30/2016
14641 - Formation LPI 101,14641,OGEA 12,Formation,Paris,LTS | Inter,Signée,MATONDO,MATONDO,2200,100%,6/27/2016,6/27/2016
14642 - Formation,14642,OMNI,Formation,Paris,LTS | Intra,Sans suite,KISAKA,ZAPOLSKY,1,0%,6/27/2016,11/17/2016
14645 - Intégration LemonLDAP Liferay Kerberos,14645,AIDL,LinID,Paris,LGS l Service Assistance,Sans suite,STG_SIRIGU,MAUDET,10000,0%,6/28/2016,6/29/2016
14646 -  Assistance pour sécurisation base Brehat,14646,SNCF - INFRA,AUTRE,Paris,LPS | Assistance,Gagnée,ZAPOLSKY,MAUDET,33600,100%,6/28/2016,6/28/2016
14647 - evolutions GLPI-FUSION,14647,SIAAP,Support,Paris,LGS l Service Forfait,Signée,VASSILIEFF,MAUDET,7500,100%,6/28/2016,6/30/2016
14648 - Support 2016,14648,BANQUE POSTALE GRADIGNAN,OSSA,GSO,LRS | OSSA,Signée,DESCHUTTER,VALENTIN,50000,100%,6/28/2016,6/28/2016
14649 - Messagerie Collaborative,14649,LA POSTE COTE D'IVOIRE,OBM,Paris,LGS l Service Forfait,Négociation,KISAKA,MAUDET,50000,10%,6/29/2016,7/8/2016
14650 - LPI 101,14650,EXPERTISE INFORMATIQUE,Formation,Paris,LTS | Inter,Signée,MATONDO,MATONDO,2200,100%,6/29/2016,6/30/2016
14651 - ossa cassandra  premiere année,14651,SOCIETE GENERALE SA,OSSA,Paris,LRS | OSSA,Gagnée,CONTE,ZAPOLSKY,62500,100%,6/29/2016,6/29/2016
