Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
20183 - Renouvellement Bull Aix-X86 (av16-nov16),20183,MINEFI SLL 2012,Infra,Paris,LPS | Forfait,Signée,DANIEL,MAUDET,100958.52,100%,4/8/2016,4/8/2016
14480 - intervention postfix et 3 ans de certificats,14480,CONSEIL GENERAL DE GUYANE,OBM,Paris,LGS l Service Assistance,Gagnée,CONTE,CHAPELLON,3960,100%,4/8/2016,4/8/2016
14481 - [UGAP] jours d'expertise en complément du pack50,14481,REGIME SOCIAL DES INDEPENDANTS (ANCIENNEMENT CANAM),Infra,Paris,LPS | Forfait,Signée,VASSILIEFF,DUFAY,25788.1,100%,2/17/2016,2/17/2016
14482 - Etude cession valo SQUARE CRM (Success fees),14482,SCUB,Conseil,Paris,LCS | Forfait,Gagnée,SCHURR,SCHURR,8000,100%,4/11/2016,4/11/2016
14483 - COJF alerte email groupe,14483,COUR DES COMPTES,LinPKI,Paris,LGS l Service Forfait,Sans suite,VASSILIEFF,MARTIN,10000,0%,4/11/2016,6/10/2016
14484 - Formation APACHE,14484,BECHIIR,Formation,Paris,LTS | Inter,Sans suite,OBREMSKI,OBREMSKI,1400,0%,4/11/2016,4/11/2016
14486 - [UGAP] UO libreoffice nÂ°7,14486,NANTES METROPOLE,Bureautique,Paris,LPS | Assistance,Signée,VASSILIEFF,MAUDET,37357.06,100%,4/13/2016,4/22/2016
14487 - Formation LPI 202,14487,EDF,Formation,Paris,LTS | Inter,Signée,MATONDO,MATONDO,2400,100%,4/13/2016,4/13/2016
14488-GrDF-eMailing,14488,DREAM ON,NEOMA,NEOMA,LPS | Assistance,Gagnée,CLOUZEAU,ZAPOLSKY,2000,100%,4/13/2016,4/13/2016
11056 - [UGAP] Migration (+support) OBM,11056,SDIS 21,OBM,Paris,LGS l Service Forfait,Signée,TAILLARD,ZAPOLSKY,28500,100%,10/3/2012,10/15/2012
14086 - (UGAP) Tests de performances ARGOS,14086,COUR DES COMPTES,Infra,Paris,LPS | Assistance,Sans suite,VASSILIEFF,VALENTIN,15000,0%,10/16/2015,2/23/2017
14489 - Accompagnement au déploiement PKI,14489,DOCAPOST,LinPKI,Paris,LGS l Service Assistance,Signée,BENHADDOU,MAUDET,58900,100%,4/14/2016,5/2/2016
14490 - Formation LPI 101,14490,SOGETI,Formation,Paris,LTS | Inter,Gagnée,MATONDO,MATONDO,2200,100%,4/14/2016,4/14/2016
14491 - accompagnement open source,14491,LATECOERE,Conseil,GSO,LCS | Assistance,Signée,DESCHUTTER,VALENTIN,13500,100%,4/14/2016,5/20/2016
