id,consumed_time,available_time,transmitted_time,arrived_in_relay_time,udp_tcp_delay,total_delay
package 1,594600,208682,208105,208564,118,386495
package 2,594600,222964,218969,222963,1,375631
package 3,594600,236418,236197,236416,2,358403
package 4,594600,237678,236267,237677,1,358333
package 5,594600,250605,250292,250605,0,344308
package 6,594600,253129,252621,253128,1,341979
package 7,594600,263113,263042,263113,0,331558
package 8,594600,273098,272808,273097,1,321792
package 9,594600,310829,309729,310829,0,284871
package 10,594600,312405,312204,312405,0,282396
package 11,594600,314614,314187,314613,1,280413
package 12,594600,328804,328098,328802,2,266502
package 13,594600,331009,330211,331009,0,264389
package 14,594600,344462,344384,344461,1,250216
package 15,594600,352240,352102,352239,1,242498
package 16,594600,357600,357488,357600,0,237112
package 17,594600,361703,360848,361699,4,233752
package 18,594600,368846,368487,368845,1,226113
package 19,594600,384296,383403,384296,0,211197
package 20,594600,402058,401996,402058,0,192604
package 21,594600,416772,416190,416772,0,178410
package 22,594600,434955,434886,434955,0,159714
package 23,594600,439685,439070,439685,0,155530
package 24,594600,439895,439282,439895,0,155318
package 25,594600,447467,443539,447462,5,151061
package 26,594600,457448,457355,457447,1,137245
package 27,594600,457763,457691,457762,1,136909
package 28,594600,477311,476063,477311,0,118537
package 29,594600,487401,487298,487401,0,107302
package 30,594600,494969,494604,494969,0,99996
package 31,594600,502956,501211,502956,0,93389
package 32,594600,515465,515332,515464,1,79268
package 33,594600,524293,524236,524292,1,70364
package 34,594600,533646,533573,533646,0,61027
package 35,594600,548886,548621,548886,0,45979
package 36,594600,551304,551141,551304,0,43459
package 37,594600,554247,553915,554247,0,40685
package 38,594600,575687,574011,575687,0,20589
package 39,594600,576107,573797,576107,0,20803
package 40,594600,593870,593761,593870,0,839
